Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
0-0,0.0,0-0,,0,
50-7,50.7,50-7,,1,
54-9,54.9,54-9,,2,
56-2,56.2,56-2,,3,
56-3,56.3,56-3,,4,
57-1,57.1,57-1,,5,
59-9,59.9,59-9,,6,
60-0,60.0,60-0,,7,
60-8,60.8,60-8,,8,
60-9,60.9,60-9,,9,
61-2,61.2,61-2,,10,
62-0,62.0,62-0,,11,
63-3,63.3,63-3,,12,
63-7,63.7,63-7,,13,
64-1,64.1,64-1,,14,
64-5,64.5,64-5,,15,
65-1,65.1,65-1,,16,
67-2,67.2,67-2,,17,
67-4,67.4,67-4,,18,
67-5,67.5,67-5,,19,
69-7,69.7,69-7,,20,
69-8,69.8,69-8,,21,
70-0,70.0,70-0,,22,
78-2,78.2,78-2,,23,
80-7,80.7,80-7,,24,
81-0,81.0,81-0,,25,
83-3,83.3,83-3,,26,
83-5,83.5,83-5,,27,
83-7,83.7,83-7,,28,
83-9,83.9,83-9,,29,
84-4,84.4,84-4,,30,
84-8,84.8,84-8,,31,
85-0,85.0,85-0,,32,
85-3,85.3,85-3,,33,
85-4,85.4,85-4,,34,
85-6,85.6,85-6,,35,
85-8,85.8,85-8,,36,
85-9,85.9,85-9,,37,
86-5,86.5,86-5,,38,
86-7,86.7,86-7,,39,
87-1,87.1,87-1,,40,
87-2,87.2,87-2,,41,
87-4,87.4,87-4,,42,
88-3,88.3,88-3,,43,
88-4,88.4,88-4,,44,
88-6,88.6,88-6,,45,
89-2,89.2,89-2,,46,
