Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
0,0,0,,0,
160,160,160,,1,
180,180,180,,2,
210,210,210,,3,
260,260,260,,4,
300,300,300,,5,
320,320,320,,6,
3200,3200,3200,,7,
340,340,340,,8,
3460,3460,3460,,9,
3540,3540,3540,,10,
360,360,360,,11,
3600,3600,3600,,12,
3650,3650,3650,,13,
3690,3690,3690,,14,
370,370,370,,15,
3720,3720,3720,,16,
3800,3800,3800,,17,
3840,3840,3840,,18,
3870,3870,3870,,19,
390,390,390,,20,
3900,3900,3900,,21,
400,400,400,,22,
420,420,420,,23,
4250,4250,4250,,24,
4290,4290,4290,,25,
4330,4330,4330,,26,
4390,4390,4390,,27,
440,440,440,,28,
4400,4400,4400,,29,
450,450,450,,30,
4500,4500,4500,,31,
4520,4520,4520,,32,
470,470,470,,33,
490,490,490,,34,
500,500,500,,35,
510,510,510,,36,
520,520,520,,37,
540,540,540,,38,
550,550,550,,39,
560,560,560,,40,
580,580,580,,41,
610,610,610,,42,
620,620,620,,43,
640,640,640,,44,
660,660,660,,45,
680,680,680,,46,
