Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
0-0,0.0,0-0,,0,
58-5,58.5,58-5,,1,
59-7,59.7,59-7,,2,
63-4,63.4,63-4,,3,
63-5,63.5,63-5,,4,
64-7,64.7,64-7,,5,
65-5,65.5,65-5,,6,
67-2,67.2,67-2,,7,
68-2,68.2,68-2,,8,
70-5,70.5,70-5,,9,
70-6,70.6,70-6,,10,
70-7,70.7,70-7,,11,
70-8,70.8,70-8,,12,
71-1,71.1,71-1,,13,
72-0,72.0,72-0,,14,
72-2,72.2,72-2,,15,
72-6,72.6,72-6,,16,
73-1,73.1,73-1,,17,
74-0,74.0,74-0,,18,
74-5,74.5,74-5,,19,
74-6,74.6,74-6,,20,
75-4,75.4,75-4,,21,
75-7,75.7,75-7,,22,
76-4,76.4,76-4,,23,
78-0,78.0,78-0,,24,
79-8,79.8,79-8,,25,
80-0,80.0,80-0,,26,
86-1,86.1,86-1,,27,
86-4,86.4,86-4,,28,
87-1,87.1,87-1,,29,
87-8,87.8,87-8,,30,
88-1,88.1,88-1,,31,
88-4,88.4,88-4,,32,
89-1,89.1,89-1,,33,
89-5,89.5,89-5,,34,
90-2,90.2,90-2,,35,
90-5,90.5,90-5,,36,
90-8,90.8,90-8,,37,
90-9,90.9,90-9,,38,
91-0,91.0,91-0,,39,
91-6,91.6,91-6,,40,
92-6,92.6,92-6,,41,
92-7,92.7,92-7,,42,
92-9,92.9,92-9,,43,
93-2,93.2,93-2,,44,
93-3,93.3,93-3,,45,
93-4,93.4,93-4,,46,
93-6,93.6,93-6,,47,
94-0,94.0,94-0,,48,
94-2,94.2,94-2,,49,
94-7,94.7,94-7,,50,
