refPeriod,refArea,Situation,Age,Sex,Value,UCL,LCL,sampleSize
Jan 2010 to Dec 2011,United Kingdom,Finding it quite or very difficult,16 years and over,Any,10.9,10.6,11.3,50620.0
Jan 2010 to Dec 2011,United Kingdom,Living comfortably,16 years and over,Any,28.0,,,
Jan 2010 to Dec 2011,United Kingdom,Doing alright,16 years and over,Any,34.3,,,
Jan 2010 to Dec 2011,United Kingdom,Just about getting by,16 years and over,Any,26.8,,,
Jan 2010 to Dec 2011,United Kingdom,Finding it quite difficult,16 years and over,Any,7.6,,,
Jan 2010 to Dec 2011,United Kingdom,Finding it very difficult,16 years and over,Any,3.3,,,
Jan 2011 to Dec 2012,United Kingdom,Finding it quite or very difficult,16 years and over,Any,10.9,10.5,11.3,45670.0
Jan 2011 to Dec 2012,United Kingdom,Living comfortably,16 years and over,Any,27.8,,,
Jan 2011 to Dec 2012,United Kingdom,Doing alright,16 years and over,Any,34.8,,,
Jan 2011 to Dec 2012,United Kingdom,Just about getting by,16 years and over,Any,26.5,,,
Jan 2011 to Dec 2012,United Kingdom,Finding it quite difficult,16 years and over,Any,7.5,,,
Jan 2011 to Dec 2012,United Kingdom,Finding it very difficult,16 years and over,Any,3.4,,,
Jan 2012 to Dec 2013,United Kingdom,Finding it quite or very difficult,16 years and over,Any,10.2,9.8,10.6,43040.0
Jan 2012 to Dec 2013,United Kingdom,Living comfortably,16 years and over,Any,30.0,,,
Jan 2012 to Dec 2013,United Kingdom,Doing alright,16 years and over,Any,35.1,,,
Jan 2012 to Dec 2013,United Kingdom,Just about getting by,16 years and over,Any,24.7,,,
Jan 2012 to Dec 2013,United Kingdom,Finding it quite difficult,16 years and over,Any,6.8,,,
Jan 2012 to Dec 2013,United Kingdom,Finding it very difficult,16 years and over,Any,3.3,,,
Jan 2013 to Dec 2014,United Kingdom,Finding it quite or very difficult,16 years and over,Any,9.2,8.9,9.6,40910.0
Jan 2013 to Dec 2014,United Kingdom,Living comfortably,16 years and over,Any,31.4,,,
Jan 2013 to Dec 2014,United Kingdom,Doing alright,16 years and over,Any,35.5,,,
Jan 2013 to Dec 2014,United Kingdom,Just about getting by,16 years and over,Any,23.9,,,
Jan 2013 to Dec 2014,United Kingdom,Finding it quite difficult,16 years and over,Any,6.3,,,
Jan 2013 to Dec 2014,United Kingdom,Finding it very difficult,16 years and over,Any,2.9,,,
Jan 2014 to Dec 2015,United Kingdom,Finding it quite or very difficult,16 years and over,Any,6.7,6.3,7.0,41640.0
Jan 2014 to Dec 2015,United Kingdom,Living comfortably,16 years and over,Any,35.4,,,
Jan 2014 to Dec 2015,United Kingdom,Doing alright,16 years and over,Any,36.7,,,
Jan 2014 to Dec 2015,United Kingdom,Just about getting by,16 years and over,Any,21.2,,,
Jan 2014 to Dec 2015,United Kingdom,Finding it quite difficult,16 years and over,Any,4.8,,,
Jan 2014 to Dec 2015,United Kingdom,Finding it very difficult,16 years and over,Any,1.9,,,
Jan 2015 to Dec 2016 ,United Kingdom,Finding it quite or very difficult,16 years and over,Any,6.1,5.7,6.4,39220.0
Jan 2015 to Dec 2016 ,United Kingdom,Living comfortably,16 years and over,Any,35.0,,,
Jan 2015 to Dec 2016 ,United Kingdom,Doing alright,16 years and over,Any,38.3,,,
Jan 2015 to Dec 2016 ,United Kingdom,Just about getting by,16 years and over,Any,20.7,,,
Jan 2015 to Dec 2016 ,United Kingdom,Finding it quite difficult,16 years and over,Any,4.4,,,
Jan 2015 to Dec 2016 ,United Kingdom,Finding it very difficult,16 years and over,Any,1.7,,,
Jan 2016 to Dec 2017,United Kingdom,Finding it quite or very difficult,16 years and over,Any,6.6,6.3,7.0,37460.0
Jan 2016 to Dec 2017,United Kingdom,Living comfortably,16 years and over,Any,34.5,,,
Jan 2016 to Dec 2017,United Kingdom,Doing alright,16 years and over,Any,39.0,,,
Jan 2016 to Dec 2017,United Kingdom,Just about getting by,16 years and over,Any,19.8,,,
Jan 2016 to Dec 2017,United Kingdom,Finding it quite difficult,16 years and over,Any,4.6,,,
Jan 2016 to Dec 2017,United Kingdom,Finding it very difficult,16 years and over,Any,2.1,,,
Jan 2017 to Dec 2018,United Kingdom,Finding it quite or very difficult,16 years and over,Any,7.6,7.2,8.1,34800.0
Jan 2017 to Dec 2018,United Kingdom,Living comfortably,16 years and over,Any,30.9,,,
Jan 2017 to Dec 2018,United Kingdom,Doing alright,16 years and over,Any,40.6,,,
Jan 2017 to Dec 2018,United Kingdom,Just about getting by,16 years and over,Any,20.9,,,
Jan 2017 to Dec 2018,United Kingdom,Finding it quite difficult,16 years and over,Any,5.5,,,
Jan 2017 to Dec 2018,United Kingdom,Finding it very difficult,16 years and over,Any,2.1,,,
Jan 2018 to Dec 2019 ,United Kingdom,Finding it quite or very difficult,16 years and over,Any,8.1,7.6,8.5,33350.0
Jan 2018 to Dec 2019 ,United Kingdom,Living comfortably,16 years and over,Any,31.0,,,
Jan 2018 to Dec 2019 ,United Kingdom,Doing alright,16 years and over,Any,40.5,,,
Jan 2018 to Dec 2019 ,United Kingdom,Just about getting by,16 years and over,Any,20.4,,,
Jan 2018 to Dec 2019 ,United Kingdom,Finding it quite difficult,16 years and over,Any,5.9,,,
Jan 2018 to Dec 2019 ,United Kingdom,Finding it very difficult,16 years and over,Any,2.2,,,
Jan 2019 to Dec 2020,United Kingdom,Finding it quite or very difficult,16 years and over,Any,7.2,6.8,7.6,31340.0
Jan 2019 to Dec 2020,United Kingdom,Living comfortably,16 years and over,Any,30.4,,,
