RefPeriod,n_refPeriod,refArea,areaCode,Situation,Age,Sex,Value,UCL,LCL,sampleSize
2022-12-21 to 2023-01-08,2022-12-21/P[18D],Great Britain,K03000001,Agree or strongly agree,16 years and over,Any,54.8,51.6,57.9,1490.0
2022-12-21 to 2023-01-08,2022-12-21/P[18D],Great Britain,K03000001,Strongly agree,16 years and over,Any,9.6,,,
2022-12-21 to 2023-01-08,2022-12-21/P[18D],Great Britain,K03000001,Agree,16 years and over,Any,45.1,,,
2022-12-21 to 2023-01-08,2022-12-21/P[18D],Great Britain,K03000001,Neither agree or disagree,16 years and over,Any,35.2,,,
2022-12-21 to 2023-01-08,2022-12-21/P[18D],Great Britain,K03000001,Disagree,16 years and over,Any,8.2,,,
2022-12-21 to 2023-01-08,2022-12-21/P[18D],Great Britain,K03000001,Strongly disagree,16 years and over,Any,1.8,,,
2023-03-22 to 2023-04-02,2023-03-22/P[11D],Great Britain,K03000001,Agree or strongly agree,16 years and over,Any,53.5,51.1,56.0,2660.0
2023-03-22 to 2023-04-02,2023-03-22/P[11D],Great Britain,K03000001,Strongly agree,16 years and over,Any,11.4,,,
2023-03-22 to 2023-04-02,2023-03-22/P[11D],Great Britain,K03000001,Agree,16 years and over,Any,42.1,,,
2023-03-22 to 2023-04-02,2023-03-22/P[11D],Great Britain,K03000001,Neither agree or disagree,16 years and over,Any,35.5,,,
2023-03-22 to 2023-04-02,2023-03-22/P[11D],Great Britain,K03000001,Disagree,16 years and over,Any,8.5,,,
2023-03-22 to 2023-04-02,2023-03-22/P[11D],Great Britain,K03000001,Strongly disagree,16 years and over,Any,2.4,,,
2023-06-28 to 2023-07-09,2023-06-28/P[11D],Great Britain,K03000001,Agree or strongly agree,16 years and over,Any,53.6,50.5,56.8,2150.0
2023-06-28 to 2023-07-09,2023-06-28/P[11D],Great Britain,K03000001,Strongly agree,16 years and over,Any,13.7,,,
2023-06-28 to 2023-07-09,2023-06-28/P[11D],Great Britain,K03000001,Agree,16 years and over,Any,40.0,,,
2023-06-28 to 2023-07-09,2023-06-28/P[11D],Great Britain,K03000001,Neither agree or disagree,16 years and over,Any,32.5,,,
2023-06-28 to 2023-07-09,2023-06-28/P[11D],Great Britain,K03000001,Disagree,16 years and over,Any,9.4,,,
2023-06-28 to 2023-07-09,2023-06-28/P[11D],Great Britain,K03000001,Strongly disagree,16 years and over,Any,4.5,,,
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Agree or strongly agree,16 years and over,Any,54.6,51.7,57.4,2670.0
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Strongly agree,16 years and over,Any,11.7,,,
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Agree,16 years and over,Any,42.8,,,
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Neither agree or disagree,16 years and over,Any,32.4,,,
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Disagree,16 years and over,Any,10.0,,,
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Strongly disagree,16 years and over,Any,3.0,,,
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Agree or strongly agree,Aged 16 to 24,Any,49.4,60.0,38.7,100.0
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Agree or strongly agree,Aged 25 to 34,Any,46.3,54.5,38.1,190.0
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Agree or strongly agree,Aged 35 to 49,Any,52.7,59.3,46.1,310.0
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Agree or strongly agree,Aged 50 to 64,Any,52.5,58.0,46.9,620.0
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Agree or strongly agree,Aged 65 to 74,Any,63.0,68.1,57.8,750.0
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Agree or strongly agree,Aged 75 and over,Any,73.2,77.8,68.6,690.0
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Agree or strongly agree,16 years and over,Male,54.8,50.4,59.3,1280.0
2023-08-23 to 2023-09-03,2023-08-23/P[11D],Great Britain,K03000001,Agree or strongly agree,16 years and over,Female,54.3,50.5,58.1,1390.0
