time_period_type,time_period,time_period_label,area_code,area_label,age_code,age_label,measure,sex_code,sex_label,observation,unit,feeling_of_belonging,lcl_95,ucl_95,sample_size
gregorian-interval,2022-12-21P18D/2023-01-08,21 December 2022 to 08 January 2023,K03000001,Great Britain,Y_GE16,16 years and over,Agree or strongly agree,_T,Total,54.8,PERCENT,Peoples feeling of belonginess to their neighbourhood,57.9,51.6,1490.0
gregorian-interval,2022-12-21P18D/2023-01-08,21 December 2022 to 08 January 2023,K03000001,Great Britain,Y_GE16,16 years and over,Strongly agree,_T,Total,9.6,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
gregorian-interval,2022-12-21P18D/2023-01-08,21 December 2022 to 08 January 2023,K03000001,Great Britain,Y_GE16,16 years and over,Agree,_T,Total,45.1,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
gregorian-interval,2022-12-21P18D/2023-01-08,21 December 2022 to 08 January 2023,K03000001,Great Britain,Y_GE16,16 years and over,Neither agree or disagree,_T,Total,35.2,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
gregorian-interval,2022-12-21P18D/2023-01-08,21 December 2022 to 08 January 2023,K03000001,Great Britain,Y_GE16,16 years and over,Disagree,_T,Total,8.2,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
gregorian-interval,2022-12-21P18D/2023-01-08,21 December 2022 to 08 January 2023,K03000001,Great Britain,Y_GE16,16 years and over,Strongly disagree,_T,Total,1.8,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
gregorian-interval,2023-03-22P11D/2023-04-02,22 March 2023 to 02 April 2023,K03000001,Great Britain,Y_GE16,16 years and over,Agree or strongly agree,_T,Total,53.5,PERCENT,Peoples feeling of belonginess to their neighbourhood,56.0,51.1,2660.0
gregorian-interval,2023-03-22P11D/2023-04-02,22 March 2023 to 02 April 2023,K03000001,Great Britain,Y_GE16,16 years and over,Strongly agree,_T,Total,11.4,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
gregorian-interval,2023-03-22P11D/2023-04-02,22 March 2023 to 02 April 2023,K03000001,Great Britain,Y_GE16,16 years and over,Agree,_T,Total,42.1,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
gregorian-interval,2023-03-22P11D/2023-04-02,22 March 2023 to 02 April 2023,K03000001,Great Britain,Y_GE16,16 years and over,Neither agree or disagree,_T,Total,35.5,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
gregorian-interval,2023-03-22P11D/2023-04-02,22 March 2023 to 02 April 2023,K03000001,Great Britain,Y_GE16,16 years and over,Disagree,_T,Total,8.5,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
gregorian-interval,2023-03-22P11D/2023-04-02,22 March 2023 to 02 April 2023,K03000001,Great Britain,Y_GE16,16 years and over,Strongly disagree,_T,Total,2.4,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
gregorian-interval,2023-06-28P11D/2023-07-09,28 June 2023 to 09 July 2023,K03000001,Great Britain,Y_GE16,16 years and over,Agree or strongly agree,_T,Total,53.6,PERCENT,Peoples feeling of belonginess to their neighbourhood,56.8,50.5,2150.0
gregorian-interval,2023-06-28P11D/2023-07-09,28 June 2023 to 09 July 2023,K03000001,Great Britain,Y_GE16,16 years and over,Strongly agree,_T,Total,13.7,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
gregorian-interval,2023-06-28P11D/2023-07-09,28 June 2023 to 09 July 2023,K03000001,Great Britain,Y_GE16,16 years and over,Agree,_T,Total,40.0,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
gregorian-interval,2023-06-28P11D/2023-07-09,28 June 2023 to 09 July 2023,K03000001,Great Britain,Y_GE16,16 years and over,Neither agree or disagree,_T,Total,32.5,PERCENT,Peoples feeling of belonginess to their neighbourhood,,,
